"playerID","yearID","lgID"
"aaronha01",1955,"NL"
"aaronha01",1956,"NL"
"aaronha01",1957,"NL"
"aaronha01",1958,"NL"
"aaronha01",1959,"NL"
"aaronha01",1960,"NL"
"aaronha01",1961,"NL"
"aaronha01",1962,"NL"
"aaronha01",1963,"NL"
"aaronha01",1964,"NL"
"aaronha01",1965,"NL"
"aaronha01",1966,"NL"
"aaronha01",1967,"NL"
"aaronha01",1968,"NL"
"aaronha01",1969,"NL"
"aaronha01",1970,"NL"
"aaronha01",1971,"NL"
"aaronha01",1972,"NL"
"aaronha01",1973,"NL"
"aaronha01",1974,"NL"
"aaronha01",1975,"AL"
"aasedo01",1986,"AL"
"abreubo01",2004,"NL"
"abreubo01",2005,"NL"
"adamsac01",1943,"NL"
"adcocjo01",1960,"NL"
"ageeto01",1966,"AL"
"ageeto01",1967,"AL"
"aguilri01",1991,"AL"
"aguilri01",1992,"AL"
"aguilri01",1993,"AL"
"aguirha01",1962,"AL"
"alexado01",1988,"AL"
"alfoned01",2000,"NL"
"allendi01",1965,"NL"
"allendi01",1966,"NL"
"allendi01",1967,"NL"
"allendi01",1970,"NL"
"allendi01",1972,"AL"
"allendi01",1973,"AL"
"allendi01",1974,"AL"
"allenjo02",1938,"AL"
"alleyge01",1967,"NL"
"alleyge01",1968,"NL"
"allisbo01",1959,"AL"
"allisbo01",1963,"AL"
"allisbo01",1964,"AL"
"alomaro01",1990,"NL"
"alomaro01",1991,"AL"
"alomaro01",1992,"AL"
"alomaro01",1993,"AL"
"alomaro01",1994,"AL"
"alomaro01",1995,"AL"
"alomaro01",1996,"AL"
"alomaro01",1997,"AL"
"alomaro01",1998,"AL"
"alomaro01",1999,"AL"
"alomaro01",2000,"AL"
"alomaro01",2001,"AL"
"alomasa01",1970,"AL"
"alomasa02",1990,"AL"
"alomasa02",1991,"AL"
"alomasa02",1992,"AL"
"alomasa02",1996,"AL"
"alomasa02",1997,"AL"
"alomasa02",1998,"AL"
"aloufe01",1962,"NL"
"aloufe01",1966,"NL"
"aloufe01",1968,"NL"
"alouma01",1968,"NL"
"alouma01",1969,"NL"
"aloumo01",1994,"NL"
"aloumo01",1997,"NL"
"aloumo01",1998,"NL"
"aloumo01",2001,"NL"
"aloumo01",2004,"NL"
"aloumo01",2005,"NL"
"altmage01",1961,"NL"
"altmage01",1962,"NL"
"alvarwi01",1994,"AL"
"alvisma01",1965,"AL"
"alvisma01",1967,"AL"
"anderbr01",1992,"AL"
"anderbr01",1996,"AL"
"anderbr01",1997,"AL"
"anderga01",2002,"AL"
"anderga01",2003,"AL"
"anderga01",2005,"AL"
"andremi01",1969,"AL"
"andrena01",1944,"NL"
"andruel01",2010,"AL"
"andujjo01",1977,"NL"
"andujjo01",1979,"NL"
"andujjo01",1984,"NL"
"andujjo01",1985,"NL"
"antonjo02",1954,"NL"
"antonjo02",1956,"NL"
"antonjo02",1957,"NL"
"antonjo02",1958,"NL"
"antonjo02",1959,"NL"
"aparilu01",1958,"AL"
"aparilu01",1959,"AL"
"aparilu01",1960,"AL"
"aparilu01",1961,"AL"
"aparilu01",1962,"AL"
"aparilu01",1963,"AL"
"aparilu01",1964,"AL"
"aparilu01",1970,"AL"
"aparilu01",1971,"AL"
"aparilu01",1972,"AL"
"appieke01",1995,"AL"
"applilu01",1936,"AL"
"applilu01",1939,"AL"
"applilu01",1940,"AL"
"applilu01",1941,"AL"
"applilu01",1943,"AL"
"applilu01",1946,"AL"
"applilu01",1947,"AL"
"armasto01",1981,"AL"
"armasto01",1984,"AL"
"armstja01",1990,"NL"
"arnovmo01",1939,"NL"
"arrojro01",1998,"AL"
"arroybr01",2006,"NL"
"arroylu01",1955,"NL"
"arroylu01",1961,"AL"
"ashburi01",1948,"NL"
"ashburi01",1951,"NL"
"ashburi01",1953,"NL"
"ashburi01",1958,"NL"
"ashburi01",1962,"NL"
"ashbyan01",1998,"NL"
"ashbyan01",1999,"NL"
"atwelto01",1952,"NL"
"aurilri01",2001,"NL"
"ausmubr01",1999,"AL"
"averiea01",1933,"AL"
"averiea01",1934,"AL"
"averiea01",1935,"AL"
"averiea01",1936,"AL"
"averiea01",1937,"AL"
"averiea01",1938,"AL"
"averyst01",1993,"NL"
"avilabo01",1952,"AL"
"avilabo01",1954,"AL"
"avilabo01",1955,"AL"
"azcuejo01",1968,"AL"
"baergca01",1992,"AL"
"baergca01",1993,"AL"
"baergca01",1995,"AL"
"baezda01",2005,"AL"
"bagbyji02",1942,"AL"
"bagbyji02",1943,"AL"
"bagweje01",1994,"NL"
"bagweje01",1996,"NL"
"bagweje01",1997,"NL"
"bagweje01",1999,"NL"
"bailean01",2009,"AL"
"bailean01",2010,"AL"
"baileed01",1956,"NL"
"baileed01",1957,"NL"
"baileed01",1960,"NL"
"baileed01",1961,"NL"
"baileed01",1963,"NL"
"baineha01",1985,"AL"
"baineha01",1986,"AL"
"baineha01",1987,"AL"
"baineha01",1989,"AL"
"baineha01",1991,"AL"
"baineha01",1999,"AL"
"bakerdu01",1981,"NL"
"bakerdu01",1982,"NL"
"bakerge02",1955,"NL"
"baldwja01",2000,"AL"
"bandosa01",1969,"AL"
"bandosa01",1972,"AL"
"bandosa01",1973,"AL"
"bandosa01",1974,"AL"
"bankser01",1955,"NL"
"bankser01",1956,"NL"
"bankser01",1957,"NL"
"bankser01",1958,"NL"
"bankser01",1959,"NL"
"bankser01",1960,"NL"
"bankser01",1961,"NL"
"bankser01",1962,"NL"
"bankser01",1965,"NL"
"bankser01",1967,"NL"
"bankser01",1969,"NL"
