"hofID","yearid","votedBy","ballots","votes","inducted","category"
"aaronha01h",1982,"BW",415,406,"Y","Player"
"alexape01h",1938,"BW",262,212,"Y","Player"
"alstowa01h",1983,"VC",,,"Y","Manager"
"andersp01h",2000,"VC",,,"Y","Manager"
"ansonca01h",1939,"VC",,,"Y","Player"
"aparilu01h",1984,"BW",403,341,"Y","Player"
"applilu01h",1964,"BW",225,189,"Y","Player"
"ashburi01h",1995,"VC",,,"Y","Player"
"averiea01h",1975,"VC",,,"Y","Player"
"bakerfr01h",1955,"VC",,,"Y","Player"
"bancrda01h",1971,"VC",,,"Y","Player"
"bankser01h",1977,"BW",383,321,"Y","Player"
"barlial99h",1989,"VC",,,"Y","Umpire"
"barroed99h",1953,"VC",,,"Y","Pioneer/Executive"
"becklja01h",1971,"VC",,,"Y","Player"
"bellco99h",1974,"NL",,,"Y","Player"
"benchjo01h",1989,"BW",447,431,"Y","Player"
"bendech01h",1953,"VC",,,"Y","Player"
"berrayo01h",1972,"BW",396,339,"Y","Player"
"boggswa01h",2005,"BW",516,474,"Y","Player"
"bottoji01h",1974,"VC",,,"Y","Player"
"boudrlo01h",1970,"BW",300,232,"Y","Player"
"bresnro01h",1945,"VC",,,"Y","Player"
"brettge01h",1999,"BW",497,488,"Y","Player"
"brocklo01h",1985,"BW",395,315,"Y","Player"
"broutda01h",1945,"VC",,,"Y","Player"
"brownmo01h",1949,"VC",,,"Y","Player"
"brownra99h",2006,"NL",,,"Y","Player"
"brownwi02h",2006,"NL",,,"Y","Player"
"bulkemo99h",1937,"VC",,,"Y","Pioneer/Executive"
"bunniji01h",1996,"VC",,,"Y","Player"
"burkeje01h",1946,"VC",,,"Y","Player"
"camparo01h",1969,"BW",340,270,"Y","Player"
"carewro01h",1991,"BW",443,401,"Y","Player"
"careyma01h",1961,"VC",,,"Y","Player"
"carltst01h",1994,"BW",455,436,"Y","Player"
"cartega01h",2003,"BW",496,387,"Y","Player"
"cartwal99h",1938,"VC",,,"Y","Pioneer/Executive"
"cepedor01h",1999,"VC",,,"Y","Player"
"chadwhe99h",1938,"VC",,,"Y","Pioneer/Executive"
"chancfr01h",1946,"VC",,,"Y","Player"
"chandha99h",1982,"VC",,,"Y","Pioneer/Executive"
"charlos99h",1976,"NL",,,"Y","Player"
"chesbja01h",1946,"VC",,,"Y","Player"
"chylane99h",1999,"VC",,,"Y","Umpire"
"clarkfr01h",1945,"VC",,,"Y","Player"
"clarkjo01h",1963,"VC",,,"Y","Player"
"clemero01h",1973,"BW",424,393,"Y","Player"
"cobbty01h",1936,"BW",226,222,"Y","Player"
"cochrmi01h",1947,"BW",161,128,"Y","Player"
"collied01h",1939,"BW",274,213,"Y","Player"
"colliji01h",1945,"VC",,,"Y","Player"
"combsea01h",1970,"VC",,,"Y","Player"
"comisch01h",1939,"VC",,,"Y","Pioneer/Executive"
"conlajo01h",1974,"VC",,,"Y","Umpire"
"connoro01h",1976,"VC",,,"Y","Player"
"connoto99h",1953,"VC",,,"Y","Umpire"
"coopean99h",2006,"NL",,,"Y","Player"
"covelst01h",1969,"VC",,,"Y","Player"
"crawfsa01h",1957,"VC",,,"Y","Player"
"cronijo01h",1956,"BW",193,152,"Y","Player"
"cummica01h",1939,"VC",,,"Y","Pioneer/Executive"
"cuyleki01h",1968,"VC",,,"Y","Player"
"dandrra99h",1987,"VC",,,"Y","Player"
"davisge01h",1998,"VC",,,"Y","Player"
"dayle99h",1995,"VC",,,"Y","Player"
"deandi01h",1953,"BW",264,209,"Y","Player"
"delahed01h",1945,"VC",,,"Y","Player"
"dickebi01h",1954,"BW",252,202,"Y","Player"
"dihigma99h",1977,"NL",,,"Y","Player"
"dimagjo01h",1955,"BW",251,223,"Y","Player"
"dobyla01h",1998,"VC",,,"Y","Player"
"doerrbo01h",1986,"VC",,,"Y","Player"
"dreyfba99h",2008,"VC",,,"Y","Pioneer/Executive"
"drysddo01h",1984,"BW",403,316,"Y","Player"
"duffyhu01h",1945,"VC",,,"Y","Player"
"durocle01h",1994,"VC",,,"Y","Manager"
"eckerde01h",2004,"BW",497,421,"Y","Player"
"evansbi99h",1973,"VC",,,"Y","Umpire"
"eversjo01h",1946,"VC",,,"Y","Player"
"ewingbu01h",1939,"VC",,,"Y","Player"
"faberre01h",1964,"VC",,,"Y","Player"
"fellebo01h",1962,"BW",160,150,"Y","Player"
"ferreri01h",1984,"VC",,,"Y","Player"
"fingero01h",1992,"BW",430,349,"Y","Player"
"fiskca01h",2000,"BW",499,397,"Y","Player"
"flickel01h",1963,"VC",,,"Y","Player"
"fordwh01h",1974,"BW",365,284,"Y","Player"
"fostebi99h",1996,"VC",,,"Y","Player"
"fosteru99h",1981,"VC",,,"Y","Manager"
"foxne01h",1997,"VC",,,"Y","Player"
"foxxji01h",1951,"BW",226,179,"Y","Player"
"frickfo99h",1970,"VC",,,"Y","Pioneer/Executive"
"friscfr01h",1947,"BW",161,136,"Y","Player"
"galvipu01h",1965,"VC",,,"Y","Player"
"gehrich01h",1949,"BW",187,159,"Y","Player"
"gehrilo01h",1939,"BW",,,"Y","Player"
"gibsobo01h",1981,"BW",401,337,"Y","Player"
"gibsojo99h",1972,"NL",,,"Y","Player"
"gileswa99h",1979,"VC",,,"Y","Pioneer/Executive"
"gomezle01h",1972,"VC",,,"Y","Player"
"gordojo01h",2009,"VC",,,"Y","Player"
"gosligo01h",1968,"VC",,,"Y","Player"
"gossari01h",2008,"BW",543,466,"Y","Player"
"grantfr99h",2006,"NL",,,"Y","Player"
"greenha01h",1956,"BW",193,164,"Y","Player"
"griffcl01h",1946,"VC",,,"Y","Pioneer/Executive"
"grimebu01h",1964,"VC",,,"Y","Player"
"grovele01h",1947,"BW",161,123,"Y","Player"
"gwynnto01h",2007,"BW",545,532,"Y","Player"
"hafeych01h",1971,"VC",,,"Y","Player"
"haineje01h",1970,"VC",,,"Y","Player"
"hamilbi01h",1961,"VC",,,"Y","Player"
"hanlone01h",1996,"VC",,,"Y","Manager"
"harribu01h",1975,"VC",,,"Y","Manager"
"harriwi99h",1972,"VC",,,"Y","Pioneer/Executive"
"hartnga01h",1955,"BW",251,195,"Y","Player"
"heilmha01h",1952,"BW",234,203,"Y","Player"
